InputIndex,Address to Validate,LOCALITY,Primary Address,Locality,Postcode,Local Government Name,LotNumber,PlanNumber,Longitude,Latitude,GeocodeType,Confidence,FullAddress,Complex-Building Name,Comment
97,16 Mill ln,NAMBOUR,16 MILL LANE,NAMBOUR,4560,SUNSHINE COAST REGIONAL,36,RP26525,152.95708349,-26.62923332,PC,94,16 MILL LANE  NAMBOUR QLD 4560,, 
99,3 Brighton pl,BARINGA,3 BRIGHTON PL,BARINGA,4551,SUNSHINE COAST REGIONAL,7000,SP330426,153.07919484,-26.81382521,PC,100,3 BRIGHTON PL  BARINGA QLD 4551,, 
100,131-141 David Low way (6),KUNDA PARK,131-141 DAVID LOW WAY,DIDDILLIBAH,4559,SUNSHINE COAST REGIONAL,8,SP257396,153.04222657,-26.63498541,PC,93,131-141 DAVID LOW WAY  DIDDILLIBAH QLD 4559,, 
101,2-4 Godfreys ave,BLI BLI,2 GODFREYS AV,BLI BLI,4560,SUNSHINE COAST REGIONAL,1,CG805217,153.06213387,-26.63829356,PC,97,2 GODFREYS AV  BLI BLI QLD 4560,, 
102,51 Bareki st,WURTULLA,51 BAREKI ST,WURTULLA,4575,SUNSHINE COAST REGIONAL,251,W9325,153.12788033,-26.76370749,PC,100,51 BAREKI ST  WURTULLA QLD 4575,, 
103,1 Coongarra espl,WURTULLA,1 COONGARRA ESP,WURTULLA,4575,SUNSHINE COAST REGIONAL,84,W9325,153.12740882,-26.76379899,PC,97,1 COONGARRA ESP  WURTULLA QLD 4575,, 
105,519 Old Bay rd,BURPENGARY EAST,519 OLD BAY RD,BURPENGARY EAST,4505,MORETON BAY REGIONAL,2,SP321856,152.98357837,-27.15890394,PC,100,519 OLD BAY RD  BURPENGARY EAST QLD 4505,, 
108,10 Blackheath dr,TEWANTIN,10 BLACKHEATH DR,TEWANTIN,4565,NOOSA SHIRE,304,RP186986,153.01978586,-26.40179564,PC,100,10 BLACKHEATH DR  TEWANTIN QLD 4565,, 
109,40 Rivendell dr,COOLUM BEACH,40 RIVENDELL DR,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,30,RP143829,153.08505175,-26.54114053,PC,100,40 RIVENDELL DR  COOLUM BEACH QLD 4573,, 
110,3 Entwood ave,COOLUM BEACH,3 ENTWOOD AV,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,18,RP136665,153.08343661,-26.54022191,PC,100,3 ENTWOOD AV  COOLUM BEACH QLD 4573,, 
112,1830-1836 David Low way (6),COOLUM BEACH,1830-1836 DAVID LOW WAY,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,3,SP274451,153.08968128,-26.52630758,PC,94,1830-1836 DAVID LOW WAY  COOLUM BEACH QLD 4573,, 
113,66 Anchorage cirt,TWIN WATERS,66 ANCHORAGE CCT,TWIN WATERS,4564,SUNSHINE COAST REGIONAL,128,SP157563,153.08795052,-26.63647941,PC,97,66 ANCHORAGE CCT  TWIN WATERS QLD 4564,, 
115,11 Joni ct,BLI BLI,11 JONI CT,BLI BLI,4560,SUNSHINE COAST REGIONAL,58,RP848389,153.0334748,-26.62269448,PC,100,11 JONI CT  BLI BLI QLD 4560,, 
117,10 Flame Tree dr,TEWANTIN,10 FLAME TREE DR,TEWANTIN,4565,NOOSA SHIRE,10,SP100812,153.03040583,-26.38307688,PC,100,10 FLAME TREE DR  TEWANTIN QLD 4565,, 
120,9 Blackheath dr,TEWANTIN,9 BLACKHEATH DR,TEWANTIN,4565,NOOSA SHIRE,130,RP142650,153.02023273,-26.40194172,PC,100,9 BLACKHEATH DR  TEWANTIN QLD 4565,, 
122,17 Avalon st,COOLUM BEACH,17 AVALON ST,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,38,SP129699,153.08923479,-26.53768479,PC,100,17 AVALON ST  COOLUM BEACH QLD 4573,, 
123,21 Avalon st,COOLUM BEACH,21 AVALON ST,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,40,SP129699,153.08927539,-26.53804127,PC,100,21 AVALON ST  COOLUM BEACH QLD 4573,, 
124,60 Noosa dr,NOOSA HEADS,60 NOOSA DR,NOOSA HEADS,4567,NOOSA SHIRE,2,SP191701,153.0882937,-26.39531484,PC,100,60 NOOSA DR  NOOSA HEADS QLD 4567,(THE J), 
